,striker,matches,total_runs,average,strike_rate,boundary_pct,batting_score
106,A Badoni,56,1178,1.33,133.11,16.16,26.33
107,AK Markram,66,1671,1.32,132.2,15.74,26.31
108,RN ten Doeschate,21,326,1.37,136.97,17.23,26.29
109,KH Pandya,123,1982,1.29,128.78,16.18,26.23
110,E Lewis,26,654,1.31,131.06,19.64,26.06
111,KP Pietersen,36,1001,1.32,132.06,17.28,26.03
112,DL Chahar,20,142,1.35,135.24,16.19,26.01
113,MK Pandey,163,4021,1.18,118.06,13.68,25.94
114,AJ Finch,90,2092,1.23,123.35,17.22,25.92
115,DJ Bravo,110,1560,1.25,125.1,14.92,25.89
116,MK Lomror,35,527,1.35,135.48,16.2,25.87
117,SM Curran,53,997,1.31,131.01,16.56,25.85
118,SPD Smith,93,2495,1.25,124.81,14.31,25.83
119,N Wadhera,37,784,1.34,134.48,18.35,25.81
120,M Vijay,105,2619,1.19,118.61,15.31,25.77
121,Yuvraj Singh,126,2754,1.25,124.78,16.63,25.76
122,JD Ryder,29,604,1.3,129.61,18.88,25.76
123,SE Rutherford,27,520,1.32,132.32,17.3,25.58
124,Washington Sundar,59,888,1.29,128.88,15.97,25.57
125,JP Faulkner,45,527,1.3,129.8,14.53,25.53
126,M Vohra,51,1083,1.25,125.49,17.03,25.33
127,C de Grandhomme,21,303,1.32,132.31,15.72,25.23
128,NLTC Perera,30,424,1.3,130.06,15.03,25.22
129,BA Stokes,43,935,1.3,130.22,15.74,25.04
130,Mandeep Singh,97,1706,1.2,120.31,15.09,24.9
131,KS Williamson,76,2132,1.23,122.95,14.48,24.79
132,SN Thakur,43,349,1.26,126.45,16.3,24.78
133,STR Binny,66,880,1.26,125.71,14.43,24.73
134,V Shankar,63,1233,1.25,125.18,13.81,24.6
135,DPMD Jayawardene,78,1808,1.19,118.79,15.77,24.58
136,MEK Hussey,58,1977,1.2,119.96,15.17,24.54
137,MC Henriques,54,1000,1.25,124.84,14.36,24.54
138,LMP Simmons,29,1079,1.23,122.89,17.43,24.53
139,JP Duminy,75,2029,1.21,120.77,12.2,24.52
140,SR Tendulkar,78,2334,1.14,114.19,15.9,24.5
141,BJ Hodge,63,1400,1.21,121.42,14.31,24.25
142,CL White,45,971,1.25,125.45,14.73,24.24
143,DJ Hooda,101,1497,1.23,123.41,13.19,24.18
144,SW Billings,27,503,1.26,126.07,15.04,24.12
145,A Symonds,36,974,1.25,124.71,14.72,24.06
146,R Dravid,82,2174,1.13,113.35,15.48,24.02
147,EJG Morgan,74,1406,1.19,119.05,14.9,23.98
148,Azhar Mahmood,21,388,1.25,124.76,16.72,23.97
149,KC Sangakkara,68,1687,1.18,118.47,15.59,23.9
150,AP Tare,27,339,1.19,118.95,17.89,23.89
151,P Negi,35,365,1.21,121.26,14.29,23.89
152,MJ McClenaghan,20,85,1.16,116.44,16.44,23.89
153,KM Jadhav,81,1208,1.19,119.37,14.03,23.88
154,CJ Anderson,29,538,1.23,123.39,16.28,23.76
155,MV Boucher,23,394,1.24,123.9,14.15,23.71
156,OA Shah,22,506,1.25,124.94,14.07,23.69
157,IK Pathan,82,1150,1.17,116.75,12.79,23.66
158,GJ Bailey,36,663,1.2,120.11,14.13,23.64
159,R Bhatia,47,342,1.18,117.93,12.76,23.56
160,NV Ojha,94,1554,1.14,114.26,14.71,23.48
161,DJ Hussey,61,1322,1.2,120.07,13.62,23.38
162,JO Holder,34,324,1.19,119.12,13.6,23.37
163,Shakib Al Hasan,52,795,1.2,119.55,14.14,23.37
164,PC Valthaty,23,505,1.17,116.9,18.75,23.32
165,LRPL Taylor,54,1017,1.2,120.07,13.22,23.3
166,AD Mathews,41,724,1.21,120.87,12.19,23.25
167,S Sohal,20,368,1.18,118.33,16.72,23.2
168,MK Tiwary,83,1695,1.14,113.83,13.16,23.15
169,S Badrinath,65,1441,1.16,115.74,14.62,23.14
170,A Manohar,20,292,1.2,120.16,15.23,23.14
171,JD Unadkat,28,201,1.16,116.18,13.29,23.08
172,R Ashwin,93,833,1.14,114.42,12.77,23.06
173,Gurkeerat Singh,32,511,1.17,117.2,15.14,22.98
174,SS Tiwary,73,1494,1.16,115.72,12.47,22.96
175,Harpreet Brar,27,249,1.15,114.75,13.82,22.91
176,JH Kallis,95,2427,1.06,105.94,13.05,22.87
177,PP Chawla,86,624,1.08,107.59,13.1,22.6
178,DB Das,22,304,1.14,113.86,14.61,22.53
179,KV Sharma,40,352,1.15,114.66,12.05,22.53
180,TM Dilshan,50,1153,1.1,110.12,15.66,22.53
181,Shahbaz Ahmed,40,603,1.17,116.86,11.82,22.45
182,DJG Sammy,20,295,1.18,117.53,13.15,22.45
183,HV Patel,44,280,1.12,112.0,13.2,22.41
184,Y Venugopal Rao,52,985,1.14,113.87,13.18,22.39
185,AM Nayar,50,672,1.14,114.29,12.76,22.34
186,TL Suman,39,676,1.15,115.16,13.8,22.33
187,Anuj Rawat,21,318,1.15,115.22,14.49,22.32
188,R Dhawan,22,210,1.12,111.7,13.3,22.3
189,R Sathish,24,270,1.14,114.41,11.86,22.27
190,DB Ravi Teja,25,375,1.15,115.38,13.54,22.19
191,LR Shukla,33,405,1.13,113.13,13.69,22.14
192,MS Bisla,39,798,1.08,108.28,15.74,21.84
193,DT Christian,41,460,1.13,112.75,10.29,21.78
194,P Kumar,57,340,1.05,105.26,12.07,21.53
195,J Botha,28,409,1.12,112.36,12.09,21.42
196,RS Bopara,22,531,1.13,113.46,11.75,21.36
197,R Vinay Kumar,42,310,1.07,107.27,10.38,21.33
198,GC Smith,29,739,1.07,106.95,14.91,21.23
199,HH Gibbs,36,886,1.06,105.85,13.62,21.18
200,B Chipli,21,280,1.09,109.38,13.67,21.14
201,Mohammed Shami,34,115,0.99,99.14,12.07,20.94
202,TA Boult,26,93,1.03,103.33,10.0,20.93
203,DW Steyn,33,167,1.02,102.45,10.43,20.9
204,RD Chahar,22,129,1.02,101.57,14.17,20.88
205,S Gopal,22,180,1.04,104.05,12.14,20.75
206,SC Ganguly,56,1349,1.02,101.73,13.5,20.75
207,AL Menaria,23,401,1.09,109.26,11.44,20.72
208,M Manhas,38,514,1.06,105.76,10.91,20.61
209,MJ Santner,21,136,1.03,103.03,11.36,20.61
210,UT Yadav,48,208,0.99,98.58,11.85,20.59
211,K Rabada,34,262,1.02,102.34,12.5,20.48
212,RJ Harris,21,117,1.04,104.46,8.04,20.47
213,MG Johnson,28,167,0.99,99.4,10.12,20.46
214,VVS Laxman,20,282,1.04,104.06,14.02,20.41
215,Y Nagar,20,285,1.05,105.17,10.7,20.24
216,M Jansen,25,192,1.03,103.23,9.68,19.93
217,M Kaif,22,259,1.0,100.39,10.85,19.58
218,CA Pujara,22,390,0.97,96.77,13.4,19.42
219,Lalit Yadav,21,305,1.01,101.33,11.3,19.42
220,B Kumar,75,354,0.9,90.31,9.69,19.19
221,UBT Chand,20,300,0.96,95.54,13.06,18.9
222,SP Goswami,21,293,0.95,95.44,11.4,18.55
223,DS Kulkarni,20,104,0.92,92.04,7.96,18.42
224,MM Sharma,30,125,0.89,89.29,9.29,18.38
225,JJ Bumrah,29,75,0.84,84.27,7.87,18.3
226,I Sharma,21,57,0.8,80.28,8.45,18.21
227,SL Malinga,20,88,0.85,85.44,10.68,18.18
228,MA Starc,22,111,0.91,90.98,9.02,18.14
229,SK Warne,27,198,0.9,90.41,9.13,17.82
230,Mohammed Siraj,23,117,0.81,81.25,10.42,17.68
231,A Mishra,55,381,0.87,86.59,8.18,17.66
232,Z Khan,27,117,0.83,82.98,9.22,17.17
233,Sandeep Sharma,26,60,0.76,75.95,5.06,17.07
234,Kuldeep Yadav,41,210,0.8,79.85,7.98,16.57
235,GH Vihari,23,284,0.86,85.8,7.25,16.24
236,RP Singh,28,52,0.67,66.67,3.85,16.16
237,S Nadeem,20,39,0.44,44.32,2.27,12.43
